datetime,training_steps,game_length,game_result,num_passes,black_elo_rating,white_elo_rating
2024-10-16 13:41:28,1000,33,B+2.5,6,16.0,-15.263693206478006
2024-10-16 13:59:21,2000,31,B+3.5,3,32.0,0.7363067935219938
2024-10-16 14:15:25,3000,43,B+8.5,7,48.0,16.736306793521994
2024-10-16 14:30:04,4000,29,W+2.5,5,32.73630679352199,64.0
2024-10-16 14:44:53,5000,33,B+4.5,6,48.73630679352199,17.472613587043984
2024-10-16 14:59:14,6000,35,W+6.5,7,33.47261358704398,64.73630679352199
2024-10-16 15:12:46,7000,41,B+3.5,4,49.47261358704398,18.208920380565974
2024-10-16 15:25:37,8000,38,B+8.5,5,65.47261358704398,34.20892038056597
2024-10-16 15:37:44,9000,31,B+1.5,7,81.47261358704398,50.20892038056597
2024-10-16 15:50:00,10000,34,B+6.5,3,97.47261358704398,66.20892038056597
2024-10-16 16:02:16,11000,33,B+11.5,4,113.47261358704398,82.20892038056597
2024-10-16 16:14:53,12000,50,W+6.5,6,98.20892038056597,129.47261358704398
2024-10-16 16:26:13,13000,38,B+10.5,6,114.20892038056597,82.94522717408796
2024-10-16 16:38:20,14000,50,W+1.5,6,98.94522717408796,130.20892038056598
2024-10-16 16:50:10,15000,37,B+10.5,3,114.94522717408796,83.68153396760995
2024-10-16 17:02:00,16000,41,B+14.5,6,130.94522717408796,99.68153396760995
2024-10-16 17:14:03,17000,50,B+1.5,9,146.94522717408796,115.68153396760995
2024-10-16 17:25:53,18000,36,B+8.5,4,162.94522717408796,131.68153396760997
2024-10-16 17:37:32,19000,31,B+14.5,3,178.94522717408796,147.68153396760997
2024-10-16 17:49:14,20000,35,B+10.5,4,194.94522717408796,163.68153396760997
2024-10-16 18:00:26,21000,33,B+13.5,5,210.94522717408796,179.68153396760997
2024-10-16 18:11:56,22000,25,B+1.5,4,226.94522717408796,195.68153396760997
2024-10-16 18:23:13,23000,36,B+7.5,4,242.94522717408796,211.68153396760997
2024-10-16 18:34:30,24000,39,B+13.5,5,258.94522717408796,227.68153396760997
2024-10-16 18:45:38,25000,29,B+17.5,5,274.94522717408796,243.68153396760997
2024-10-16 18:56:52,26000,35,B+11.5,4,290.94522717408796,259.68153396760994
2024-10-16 19:08:03,27000,34,B+12.5,5,306.94522717408796,275.68153396760994
2024-10-16 19:19:17,28000,35,B+14.5,4,322.94522717408796,291.68153396760994
2024-10-16 19:30:39,29000,41,B+17.5,6,338.94522717408796,307.68153396760994
2024-10-16 19:41:54,30000,35,B+10.5,4,354.94522717408796,323.68153396760994
2024-10-16 19:52:37,31000,37,B+17.5,6,370.94522717408796,339.68153396760994
2024-10-16 20:03:16,32000,32,B+12.5,5,386.94522717408796,355.68153396760994
2024-10-16 20:14:29,33000,35,B+10.5,4,402.94522717408796,371.68153396760994
2024-10-16 20:25:34,34000,31,B+17.5,5,418.94522717408796,387.68153396760994
2024-10-16 20:37:07,35000,50,B+11.5,5,434.94522717408796,403.68153396760994
2024-10-16 20:47:44,36000,31,B+8.5,4,450.94522717408796,419.68153396760994
2024-10-16 20:59:03,37000,37,B+10.5,4,466.94522717408796,435.68153396760994
2024-10-16 21:09:43,38000,34,B+12.5,5,482.94522717408796,451.68153396760994
2024-10-16 21:20:20,39000,33,B+12.5,4,498.94522717408796,467.68153396760994
2024-10-16 21:31:28,40000,35,B+12.5,5,514.9452271740879,483.68153396760994
2024-10-16 21:42:08,41000,35,B+14.5,5,530.9452271740879,499.6815339676099
2024-10-16 21:52:45,42000,32,B+14.5,5,546.9452271740879,515.6815339676099
2024-10-16 22:03:32,43000,37,B+8.5,4,562.9452271740879,531.6815339676099
2024-10-16 22:14:25,44000,43,B+14.5,5,578.9452271740879,547.6815339676099
2024-10-16 22:24:59,45000,31,B+17.5,5,594.9452271740879,563.6815339676099
2024-10-16 22:35:33,46000,31,B+17.5,5,610.9452271740879,579.6815339676099
2024-10-16 22:46:57,47000,47,B+17.5,7,626.9452271740879,595.6815339676099
2024-10-16 22:57:15,48000,42,B+12.5,6,642.9452271740879,611.6815339676099
2024-10-16 23:07:52,49000,34,B+12.5,5,658.9452271740879,627.6815339676099
2024-10-16 23:18:46,50000,44,B+8.5,6,674.9452271740879,643.6815339676099
2024-10-16 23:29:22,51000,33,B+12.5,5,690.9452271740879,659.6815339676099
2024-10-16 23:39:42,52000,41,B+10.5,5,706.9452271740879,675.6815339676099
2024-10-16 23:50:35,53000,41,B+10.5,5,722.9452271740879,691.6815339676099
2024-10-17 00:01:18,54000,36,B+7.5,5,738.9452271740879,707.6815339676099
2024-10-17 00:11:59,55000,37,B+17.5,6,754.9452271740879,723.6815339676099
2024-10-17 00:22:34,56000,31,B+17.5,5,770.9452271740879,739.6815339676099
2024-10-17 00:33:47,57000,37,B+14.5,3,786.9452271740879,755.6815339676099
2024-10-17 00:43:44,58000,21,B+1.5,3,802.9452271740879,771.6815339676099
2024-10-17 00:54:49,59000,31,B+17.5,5,818.9452271740879,787.6815339676099
2024-10-17 01:05:24,60000,31,B+9.5,4,834.9452271740879,803.6815339676099
2024-10-17 01:15:59,61000,31,B+17.5,5,850.9452271740879,819.6815339676099
2024-10-17 01:26:33,62000,31,B+17.5,5,866.9452271740879,835.6815339676099
2024-10-17 01:37:27,63000,45,B+14.5,6,882.9452271740879,851.6815339676099
2024-10-17 01:47:56,64000,25,B+1.5,4,898.9452271740879,867.6815339676099
2024-10-17 01:58:38,65000,37,B+17.5,6,914.9452271740879,883.6815339676099
2024-10-17 02:09:06,66000,23,B+1.5,5,930.9452271740879,899.6815339676099
2024-10-17 02:19:41,67000,31,B+17.5,5,946.9452271740879,915.6815339676099
2024-10-17 02:30:17,68000,31,B+17.5,5,962.9452271740879,931.6815339676099
2024-10-17 02:40:51,69000,26,B+0.5,4,978.9452271740879,947.6815339676099
2024-10-17 02:51:55,70000,31,B+17.5,5,994.9452271740879,963.6815339676099
2024-10-17 03:02:32,71000,31,B+17.5,5,1010.9452271740879,979.6815339676099
2024-10-17 03:13:11,72000,33,B+13.5,5,1026.945227174088,995.6815339676099
2024-10-17 03:23:46,73000,31,B+17.5,5,1042.945227174088,1011.6815339676099
2024-10-17 03:34:20,74000,31,B+17.5,5,1058.945227174088,1027.68153396761
2024-10-17 03:45:28,75000,35,B+14.5,8,1074.945227174088,1043.68153396761
2024-10-17 03:55:47,76000,41,B+14.5,6,1090.945227174088,1059.68153396761
2024-10-17 04:06:24,77000,33,B+14.5,6,1106.945227174088,1075.68153396761
2024-10-17 04:17:01,78000,33,B+17.5,5,1122.945227174088,1091.68153396761
2024-10-17 04:27:36,79000,31,B+17.5,5,1138.945227174088,1107.68153396761
2024-10-17 04:38:13,80000,31,B+13.5,5,1154.945227174088,1123.68153396761
2024-10-17 04:49:21,81000,31,B+13.5,5,1170.945227174088,1139.68153396761
2024-10-17 05:00:01,82000,35,B+17.5,6,1186.945227174088,1155.68153396761
2024-10-17 05:10:47,83000,41,B+17.5,5,1202.945227174088,1171.68153396761
2024-10-17 05:20:53,84000,31,B+13.5,5,1218.945227174088,1187.68153396761
2024-10-17 05:31:59,85000,31,B+12.5,5,1234.945227174088,1203.68153396761
2024-10-17 05:42:36,86000,31,B+13.5,5,1250.945227174088,1219.68153396761
2024-10-17 05:53:05,87000,25,B+1.5,5,1266.945227174088,1235.68153396761
2024-10-17 06:03:42,88000,33,B+17.5,6,1282.945227174088,1251.68153396761
2024-10-17 06:14:08,89000,21,B+1.5,4,1298.945227174088,1267.68153396761
2024-10-17 06:24:45,90000,31,B+17.5,5,1314.945227174088,1283.68153396761
